dbn,school_name,boro,total_students
15K462,Secondary School for Law,Brooklyn,389
15K463,Secondary School for Journalism,Brooklyn,271
15K464,Park Slope Collegiate,Brooklyn,379
15K497,School for International Studies,Brooklyn,479
15K519,Cobble Hill School of American Studies,Brooklyn,571
15K592,Khalil Gibran International Academy,Brooklyn,97
15K656,Brooklyn High School of the Arts,Brooklyn,815
15K667,Sunset Park High School,Brooklyn,1309
15K684,Millennium Brooklyn HS,Brooklyn,387
16K393,Frederick Douglass Academy IV Secondary School,Brooklyn,155
16K455,Boys and Girls High School,Brooklyn,940
16K498,Brooklyn High School for Law and Technology,Brooklyn,518
16K594,Gotham Professional Arts Academy,Brooklyn,242
16K688,The Brooklyn Academy of Global Finance,Brooklyn,148
16K765,Nelson Mandela School for Social Justice,Brooklyn,0
17K122,Pathways in Technology Early College High School (P-Tech),Brooklyn,330
17K382,Academy for College Preparation and Career Exploration: A College Board School,Brooklyn,532
17K408,Academy of Hospitality and Tourism,Brooklyn,303
17K524,International High School at Prospect Heights,Brooklyn,421
17K528,The High School for Global Citizenship,Brooklyn,256
17K531,"School for Human Rights, The",Brooklyn,416
17K533,School for Democracy and Leadership,Brooklyn,330
17K537,High School for Youth and Community Development at Erasmus,Brooklyn,347
17K539,High School for Service & Learning at Erasmus,Brooklyn,434
17K543,"Science, Technology and Research Early College High School at Erasmus",Brooklyn,532
17K546,High School for Public Service: Heroes of Tomorrow,Brooklyn,439
17K547,Brooklyn Academy of Science and the Environment,Brooklyn,477
17K548,Brooklyn School for Music & Theatre,Brooklyn,399
17K590,Medgar Evers College Preparatory School,Brooklyn,1248
17K600,Clara Barton High School,Brooklyn,1525
17K745,Brooklyn Institute for Liberal Arts,Brooklyn,170
17K751,Academy for Health Careers,Brooklyn,314
18K563,It Takes a Village Academy,Brooklyn,513
18K566,Brooklyn Generation School,Brooklyn,297
18K567,Brooklyn Theatre Arts High School,Brooklyn,401
18K569,Kurt Hahn Expeditionary Learning School,Brooklyn,288
18K576,Victory Collegiate High School,Brooklyn,332
18K589,Arts & Media Preparatory Academy,Brooklyn,298
18K617,High School for Innovation in Advertising and Media,Brooklyn,313
18K629,Cultural Academy for the Arts and Sciences,Brooklyn,309
18K633,High School for Medical Professions,Brooklyn,441
18K637,Academy for Conservation and the Environment,Brooklyn,280
18K642,Urban Action Academy,Brooklyn,312
19K404,Academy for Young Writers,Brooklyn,502
19K409,East New York Family Academy,Brooklyn,468
19K422,Spring Creek Community School,Brooklyn,169
